Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,22918,71,3800.0,10805.084562476875,23.785319999660715,83307.37769000007,3.0051051575181082,193.36095750879227,0.5990325500970526,3800,6800,8300,15000,31000,58000,67000,73000,82000,83000,83000
,Aggregated,22918,71,3800.0,10805.084562476875,23.785319999660715,83307.37769000007,3.0051051575181082,193.36095750879227,0.5990325500970526,3800,6800,8300,15000,31000,58000,67000,73000,82000,83000,83000
