Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,27573,887,5600.0,14195.02100423192,179.2411890000949,94407.56364700064,5.839698255539839,267.3994933586224,8.602014674105034,5600,7100,8200,15000,30000,82000,84000,86000,93000,94000,94000
,Aggregated,27573,887,5600.0,14195.02100423192,179.2411890000949,94407.56364700064,5.839698255539839,267.3994933586224,8.602014674105034,5600,7100,8200,15000,30000,82000,84000,86000,93000,94000,94000
